impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	402998.106989	493654.092523	64805.6192109	23984.1560843	229458.293115	3409526.50808	306248.458457	30168.3529133	1264157.9411	250408.201976	2552651.78701	197843.046998	59263.047413	159784.040374	345193.700244	1770336.27543	50714.5482784	43540.0591711	33942.5243737	11956.5640491	766070.507844	554088.972513	225509.63587	231998.433416	484738.82247	48734.8515797	100221.544291	2683178.48934	20759639.8584	4606010.74148	15004921.7524	1667999.02951	1542577.60215	1773926.68394	3297753.07529	1184568.5037	1477833.05449	1275765.09776	593345.692233	746798.007732	473006.275252	370744.732477	1164812.54357	326395.247539	4023225.18213	2328409.80727	425768.811809	1893965.59251	3151409.56163
Employment	8465.53355423	13581.5577472	4089.08758566	487.482808646	7689.77347468	79311.707207	5359.36550028	1296.16272128	31621.4431246	4574.5780829	51837.9712021	5191.87960764	2374.10822647	6417.83812227	9143.83821065	35438.6349024	2382.9935864	2175.28575655	1499.11732847	490.292102287	20326.5921427	20711.0238986	6654.27971371	13879.4690833	8283.81118535	1946.72568388	3957.0927885	59744.4752013	338280.788084	101717.551761	1273658.78362	26779.6346668	52107.0456597	76091.5464056	733727.925927	62712.3993613	85437.3304634	26698.1121889	9952.95723461	30039.6078148	21947.930878	6015.4628176	167232.982574	16095.3587504	439967.06328	112663.627735	135234.415066	409602.633335	95431.2104239
Employment hour	15676460484.5	26941481706.9	8513194628.36	992962908.456	15052745800.4	138350256370	10870493564.4	2655670047.29	64580401169.7	9216147148.8	99774674015.2	11016545158.1	4881016279.34	12941811815.6	18409423295.3	69492870148	4834535218.31	4538745741.77	3127546364.14	1018991485.75	40802861180.8	43769666986.7	13541510862.2	29284247034.4	16794359808.8	4000562474.54	8240403635.81	117864623559	631557876024	213357835079	2.8688483882e+12	52177013576.9	116915979490	167302664652	1.75222846244e+12	145501610860	172062506290	53195450548.7	20027372582.6	70976651307.5	45215252144.7	12079295903.1	359530486515	35216202549.5	909921278441	258110549772	271589848192	918571206721	222047397771
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	118602625453	196321187302	44169789383.3	14465325608.1	143109791949	1.17708673116e+12	83435597430.6	17567227830.5	417915761579	77917976466.8	640357184383	162996508545	26299471459.4	95054082146.3	131251430813	622466576631	29192151931.2	21984186097.5	15712861715.1	3822079009.01	267135687081	423418534303	93658739845.2	123396282702	102375593987	23475126885.9	55912200788.3	737056598637	7.4932430511e+12	1.61145178064e+12	1.4696495043e+13	670028079463	889057501450	1.0921164011e+12	4.55377816068e+12	728674490871	1.87857059462e+12	648908850031	130609998794	629271602343	298793077771	91060763219	1.17384991207e+12	337318206988	3.64546826827e+12	1.43263766599e+12	604770446897	2.85990958112e+12	2.74482213286e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	54755.1835554	117006.730175	17167.3352461	36132.1735386	42264.6879102	674811.27909	116567.576483	6195.05802952	198769.297826	42776.7049349	322144.486595	404656.434815	11345.3047507	35070.1052527	102217.956561	347727.333798	9592.08700214	14034.2153854	5300.55577879	1922.47566615	135029.52471	113824.998807	36389.4389278	54353.8335806	74589.605694	9090.17037652	17456.6779584	429447.422021	3294213.35517	762512.225561	7306025.39137	324340.100906	362807.800631	964124.543236	1992493.10319	564103.264334	1568456.30707	270696.228703	83594.0679064	339176.801118	184632.606122	126543.177069	665733.837736	142219.353168	2033617.00675	1837163.18359	381012.680773	1455021.68661	1543439.16966
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	32569071426.8	68114538114.6	9940959412.62	27496593032.6	24346757092.3	425522522740	83232948089	3463907959.28	116977399533	26833728218.4	184334385808	303549272860	7343361338.23	19702323126.3	61969074728.1	213195053306	5817486473.4	8568963104.1	3191534805.26	1197860649.21	78215093442.2	63010839558	22445561491.3	30351708146.1	46045618037.4	5432602466.75	10067190087.6	275619603025	1.99683383549e+12	470643999796	3.32289025901e+12	199325508907	203834882097	600115170945	1.11863285922e+12	348238259546	847941751905	158829620963	51463782259.9	192461972562	127425419221	88503141059.6	417078530883	86849561023.9	1.1480025132e+12	1.12858263458e+12	188672252907	883893815005	910205701692
EPS | Damage Approach | EPS (Steen, 1999))	101503284061	233814983203	34219685735.6	5284145637.86	93713091701.6	1.03304391146e+12	76057359340.9	8891258002.61	439542633154	64099375697.6	729905276879	85468538199.2	16601937691.7	76842447677.7	190720284519	600186092977	17173511513.9	24250070144.3	9803505301.63	3313848842.41	289427617083	270447897492	71722276684.8	127773219530	125046189233	16850112968.1	35623597042.9	676655031714	7.33277670076e+12	1.21177730822e+12	3.35035869823e+13	660219689762	930583224168	1.9468731321e+12	2.58988324176e+12	1.10348045248e+12	2.32967039408e+12	580597304371	134873322073	822060782702	191985406808	114872795816	1.31153564251e+12	311772822999	5.32683191612e+12	3.76229902773e+12	563225173027	3.2628092423e+12	3.34886267041e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	19076.1432642	35290.1667579	5963.14016274	22284.8156341	13450.1312062	275691.767733	62903.2296625	2324.02027955	62042.4174328	17539.6247067	93944.1257302	245119.885384	4882.4095862	10424.8957294	37852.3366203	124232.788565	3263.66149615	4852.76399979	1910.11914806	680.582301966	40536.1491895	34321.9099392	13224.4623287	16341.1703887	28564.3517687	3150.91993647	5998.64384258	176850.644909	981893.748576	326872.53712	2349165.11164	108457.130675	115318.321972	242366.853722	497228.815699	137531.416126	410934.525855	79791.2140187	32659.2223965	106925.488985	90828.9480082	63983.090149	194169.770488	36954.4661438	540476.055887	443460.144509	104247.473599	366227.630448	425096.468839
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	206.561664961	354.125667105	110.775374018	255.582027096	263.393598419	1767.63042971	137.750762325	41.18085278	821.020345487	118.141665426	1379.92517918	297.088197489	103.841235499	340.189756468	300.279747885	1275.69814064	65.9446620322	41.0547332642	53.4040893886	6.44076294148	390.526059874	667.694350405	148.192613468	380.912177028	173.93092881	64.1998787584	63.3194612477	1084.75039306	16117.5629527	3019.99077659	19348.5464326	1846.09759848	1163.72050596	2440.60961209	14103.8162013	2276.52854983	2630.63491079	949.956960358	194.343912456	792.238096684	504.617046286	146.187184873	4690.37873476	789.343160866	10533.9178656	3723.6509809	1249.86517448	14765.9755786	5822.92494127
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	8662569846.16	20355371184.2	2680231969.79	2265586556.47	7017811854.34	91630934155.6	10413239217.8	783168504.16	34062016131.1	6015310056.47	57496709248.5	26476512608.4	1526133856.96	6202174741.28	15957883872	54380148256.3	1552897431.21	2241271492	858764349.065	311024100.13	23401908043	19332527155.9	5574767104.03	9497857792.39	10676590230.8	1477069753.7	2777441156.51	59080717014.4	576731896233	106131195491	1.14144347388e+12	52395016210.8	63097122198.6	183194610997	365778013136	109948022778	297370923898	45608859349.2	11607783118.3	57776175440.9	20487221320.2	12869762750.3	117533587791	26557954487.4	374182875741	356393474860	73535514009.7	281014103972	298123335883
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	22556.908219	39057.8963665	8608.37510293	2935.98573264	28175.9956292	235144.854504	16780.8398213	3523.26653096	83040.9508579	15382.1805559	126224.857915	33168.0357381	5273.72949802	18654.6718128	25776.5784705	121930.22146	5654.80286328	4326.38129738	2953.36628821	702.606315718	53137.5302251	85615.9124956	17208.5684648	24384.6104848	20297.0621015	4646.48149546	10929.8768407	146672.953308	1452721.85356	304110.430347	2974957.40687	132613.494522	180701.919131	214299.035627	912687.088053	144608.455603	372415.569028	129877.82414	25619.467664	125783.030616	60413.6556335	18364.4140094	234935.11579	68716.0176476	726543.735861	276758.337803	116193.958926	564434.518378	556806.725762
