impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	132537.47566	201990.492432	25147.585112	2866.87224874	92076.4672336	1069426.06942	109586.496622	13931.0385322	336692.993932	66295.0458341	582555.705838	51527.6267062	19323.582554	70222.0473618	284695.364031	423442.610898	20532.0529274	55695.1006971	8963.56460436	7793.95939603	333023.565224	197691.806774	66607.6425112	54595.2499043	154272.405621	25955.1914354	43677.8234735	591239.214282	1790485.16444	638273.529829	2011139.56112	361870.008604	382774.125452	226677.202484	402663.838009	250375.38608	407081.99131	276896.076099	275188.923882	174123.951837	186782.557416	111770.39171	163490.25718	73376.8326457	1597509.81007	442045.870516	114663.272686	363760.362747	932605.409266
Employment	1464.04622655	1958.95215577	1809.10958118	110.137088121	2409.90860266	13393.3622343	790.546189671	376.965322092	5300.84665195	591.485336325	5896.11515877	1216.21073362	684.666748076	1951.72067839	2048.09133042	6089.93213097	619.188792773	215.183864846	320.14231705	149.505134548	2495.4066223	7110.25731376	1788.50866158	4483.62065423	1004.40090263	533.491143097	1175.13837834	6283.67252832	18408.8260233	6026.07594522	148672.216717	3060.09031932	7124.34415773	15483.8991883	94180.1709394	13313.4332846	11354.0398341	1827.9447087	1528.56250375	6144.93881914	4960.08896609	419.074867089	27702.189609	2761.89264898	362247.886162	25916.9253774	66756.7451697	110361.821715	11582.8570653
Employment hour	2384129397.39	3268685846.33	3831901363.89	238161948.7	4363768104.82	17453257082.7	1475507873.45	756997210.941	10164078380.1	1158862601.15	9144020926.45	2652532816.44	1362797591.55	3913050004.85	3897978638.09	11430062886.6	1267322207.63	437572793.284	658512685.092	304974753.096	4245648191.42	15368745545.9	3436883543.39	9105488777.76	1930538241.24	1062240927.64	2469599030.41	11838953314.4	31156786730.8	12650669937	339372632362	5652984231.08	17452288891.4	33925384191	225725653313	29918685152.3	22612186572.5	3495747578.28	3009455511.83	15482140357.5	10606625704.8	786880821.407	58472774173.3	6339254487.79	732302008818	59129329447.2	136403009293	253021413799	29730478926.8
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	28810784039.5	61065223337.3	29450965625.7	3221604399.73	49603725397.5	273131389207	31756671590.4	9699894956.11	109582816550	29923150007.1	139793821127	50236811497.4	11907283414.9	30688481486.9	74365659694.4	104459113720	11578021782.6	10112745822.6	6765544609.58	1071336329.51	114972545917	180611331110	44779916618.6	27056691887.3	26273508463.6	8358542368.85	19469374799.4	152408349072	670326393575	301360068979	2.18337816663e+12	357831408416	212349430223	322462158717	607487039582	224894324895	977851369962	297824536587	18140250501.9	171433739446	153754909490	43496071603.6	295603484945	229566114551	1.92151012191e+12	544593260145	219453765555	526249326253	1.25577620169e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	9086.33592138	37348.7997911	9470.21277054	10412.0082611	6953.54367665	395266.809312	60416.6696474	5599.44969537	40176.5922551	10368.0882787	73722.9632399	157129.605063	4704.04648382	3954.01823546	63623.9690078	53263.0876942	2542.07157981	8087.99913221	5787.79845027	1207.1957014	57205.9930544	21351.8026904	6424.06224473	33837.2706619	23108.7665067	2959.46761926	9278.02231303	93669.4279004	128307.605076	335301.242123	1717788.37596	53650.0921207	132206.007001	721200.584377	355019.774737	1166664.91768	1091371.30768	23663.3878071	25502.5162634	294783.166556	55231.3559033	27411.7671415	81607.3925428	197144.604882	2890655.95617	702221.055323	914855.830815	313158.940285	1361251.23405
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	3977658886.63	23190369605.9	4258234040.01	7920574904.47	4143348748.09	270089715737	38381340466.7	3588027018.66	18423274341.9	4521626443.85	39932367770.9	113148198935	3560769788.62	1896165721.89	22474397449	33075199504.7	1352103487.91	5154234683.76	3535173715.34	735972438.633	38104968403.6	9296128355.83	3681485112.39	17823716715.9	14983295220.3	2067515967.91	3283748579.83	62928842488.2	55591575976.5	180802963806	718522536685	26573590286.3	79537361148.4	451068848286	208089062696	733508345879	595919847595	7000318876.16	8458966935.84	159494656073	33819553058.1	19666347519.7	41528339973.9	118837030582	1.83709384452e+12	437083041754	419095985108	194084208589	874492886976
EPS | Damage Approach | EPS (Steen, 1999))	37100715736.9	52720176346.1	47950603394.2	1098635829.1	51976020352.6	150643433421	56996390761.3	3920668515.8	107789429608	24703650515.1	109369620828	66033200199.3	8844271225.35	19381873190.6	213548465967	103701481798	5569852807.44	24008944481.4	7448665836.05	1398601226.95	52378255799.9	106865056771	23368066519.8	150549732872	27760115697.3	10706867861.2	38127890397.6	105436198443	532710634761	247408638966	9.12033222741e+12	122457762028	184345843981	1.37171608022e+12	164001247113	1.95045465265e+12	1.48182301831e+12	63502159562.7	72724144650.4	1.59516703336e+12	99614638619.2	56719453812.4	181055693681	388642953849	5.1590736621e+12	1.28566651705e+12	907153886649	590255034961	2.16549824296e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	2612.88829026	16910.1818754	3011.42066809	6486.70266121	1669.00509446	219128.16762	31198.2034542	2980.64490168	13804.3994547	3227.07330278	31593.6628446	92862.5249517	2537.74985329	1041.532703	10667.7314632	25203.3644701	1061.58771472	4078.22893216	2933.62053954	546.206426651	30567.9619875	4786.47898433	2999.38216045	9807.46112438	10557.0561302	1562.19892559	1525.80572603	50157.3133537	40803.6400407	141624.666732	562504.724123	19948.4137283	59096.8628315	166263.375928	93024.3724049	255547.777005	284893.210518	5257.79442241	6571.1208772	94096.1572701	25420.6256974	15724.914381	25232.397946	46066.3078763	730931.335901	160761.033426	228776.507453	70276.44696	334509.894854
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	85.8461822248	125.353818413	43.9588552655	9.69783741954	118.544464981	702.740109132	73.6156593841	10.5058505016	243.004240545	39.7659987887	359.149622323	56.9929170202	35.947846047	47.3849133898	109.671303191	211.730119578	11.8303914776	11.9159912247	6.99507134787	3.44265891686	129.562524851	187.543720041	48.0362785753	88.323444799	62.4229663927	14.9286197949	32.3307838456	304.114402725	2719.99519949	539.139014194	2030.17782723	660.351737782	404.050514696	688.522063302	697.27625698	598.976193515	2256.54429744	268.479365781	87.4360847974	342.940547857	318.850090778	152.508586456	377.357948738	121.718662794	1895.05455546	1008.67769286	223.684135925	829.681449685	2522.58202911
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	1699389103.97	4142463247.08	1236645004.38	617173327.905	1193783141.06	30101471416.6	4666311588.49	383618997.725	5676382273.54	1280978479.48	9073206589.96	10293238623.3	543777048.074	767305880.227	10580401455.4	6624833701.25	270007968.769	933580432.294	630513506.528	129491751.776	5126514407.82	3405003355.23	944878150.442	5760277426.43	2909050919.23	302761341.605	1528798418.96	9325513742.23	22898103851	34378277960.3	272877705707	6915971560.37	14352281425.4	141897898049	62131818248.3	232556772364	218831208894	2556796415.57	3127140685.52	52058955895.7	6928726476.01	2060795117.76	11082181943.7	38396968439.6	544953409675	135866058531	197337983918	61107170899.8	264172542221
