impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	118579.519779	200520.864626	23652.3344375	3058.5456493	79665.4502405	889398.652133	86320.8158696	13529.8138221	289995.643054	65585.8795515	611429.455495	56124.7015715	20475.1524726	70757.9072556	238802.797813	368078.217526	18664.1619593	30457.5479725	9711.781207	4879.04507257	250569.985013	174122.672666	68858.321656	63211.8443012	138302.029231	22335.368564	42129.2525982	634538.666943	2353530.06964	638606.908044	1840369.39017	391385.603319	335931.102278	235806.630621	509223.842841	251937.426491	280703.15361	224421.966172	185558.516336	177590.550401	137894.399218	101503.109441	164317.94824	72226.4898516	1721545.94676	521330.950917	166678.378567	499719.984287	821880.778954
Employment	5051.50399985	10689.5125499	1399.0512478	154.765111353	3712.74422455	42776.5792516	3595.44374293	799.312878164	17574.6551743	2735.81007501	33721.4415974	2877.39130109	1273.73070652	3350.97380985	7596.70672474	17536.3731169	1188.48535992	2062.89404966	634.077047761	315.726862662	15099.856696	8490.06120351	2927.40843455	3401.01286309	5340.1178095	1358.81464568	2205.96218602	31348.5973941	144670.384438	55213.1603178	154479.305093	15515.796845	22814.9280236	11405.8569649	42548.2500247	8433.32613682	31813.8533956	18379.4219538	7144.51575795	10475.8066736	12591.0785597	4255.16883392	17190.9788535	4995.520257	97180.5330703	23860.7761561	7821.58641559	28212.4104835	63882.968184
Employment hour	10385843185.3	22401764833.8	2909644183.51	333565875.949	7765238438.51	90216886080.8	7533663833.81	1697880601.18	37794889046.8	5738732727.26	72764122492	6062123885.07	2663942079.63	6946309231.89	15702350457	36781232536.9	2469403526.85	4323789912.49	1312167780.92	669672342.874	32239020564.1	17663143505.7	6189763862.34	7101006042.88	11117995636.7	2850046447.34	4633866120.17	66503065246.9	312841494313	116630809919	320103407644	32703650533.5	48331596454.1	24696030482	91381507969.3	17669908492.5	66244991462.5	38451171165.4	14657470741.8	22189035234.1	25966235319.9	8983857646.88	36146267177.2	10786792216.5	217616391892	51044501551.3	16572413946.2	60153087319	138926911026
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	58619016360.2	128519650685	14896761829.5	1768390944.3	52674754128.8	537578218281	48150505001	6767522414.68	186985583303	34705221282.9	342706028932	46537502562.8	12822372076.4	44148941843.1	107445402072	315069426633	11583319505.9	19112423700	6361650431.25	2878776645.07	166766189694	109950019640	35780168343.6	39653590018.1	66356013327.4	12213100374.8	33507266786.4	370888272635	1.9099631028e+12	549165363463	1.85106513959e+12	224720896084	338669710730	185683357571	598152253992	170401637786	233758867400	174528946230	88984088731.9	186340980819	119081931310	46445541428.2	193512951100	59342985336.9	1.48335282198e+12	413013775961	200499065090	542426487322	792941454304
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	52492.2996138	113176.174633	14994.4145859	1939.22160329	40266.6239646	466973.57909	76266.9519488	4815.65202734	176438.862675	38149.544919	308969.506328	36321.4289765	7883.33353295	33810.3975842	93059.4414109	288300.285162	7821.82971865	12586.5503973	4068.93467427	1726.9725997	128550.009397	100980.619397	32791.2665134	49784.0627373	66692.0091043	8554.47439721	16437.3652794	326822.851297	2872192.04296	422378.725323	1182258.3407	261185.134789	283966.793255	197109.615481	723052.804598	145476.421413	388148.45079	241419.693836	75287.0700993	230806.279902	74398.0279195	60195.0445741	546152.340323	50223.0435453	1209922.35688	642376.595131	148956.748888	568880.703936	960892.293765
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	30832376960.2	65072600015.9	8645472186.93	1315263166.67	22950920589.9	270972039296	52569779610.6	3019366456.87	101792958126	23735538634.8	175977274952	22614789686.8	4591019456.46	18532240054.1	57651327189.2	168401291348	4414308412.49	7451035184.77	2414095441.9	1067817824.47	73614671752.5	56365234487.9	19445614608.7	27504889485.6	39972688716.6	4940332185.74	9570240474.74	194696964591	1.71226862962e+12	249202212345	700378078889	153032561432	157356697390	116157120316	418998011279	81642751574.9	219292407826	146134407347	47059715096.5	129247763109	45643415240.3	37532950145.8	328903555749	29521552330.6	626022780182	373688080902	84102653949.6	315873219717	513607051523
EPS | Damage Approach | EPS (Steen, 1999))	88333360818.5	222596822647	25168479256.8	2187958418.18	76165958996.3	922225954125	65360653662.4	6717436326.87	371283697732	53081490682	661514374593	55147985555.4	11908017868.7	66644251537.3	160227727323	521956369336	12928098440.4	23282820113.2	6198330707.53	2963029021.87	271764175943	194173226059	61558555824.8	101353405894	117885380240	14401693815.1	30108503799	617142519206	5.80225663075e+12	956897731399	2.03819648479e+12	581572183215	716047288805	427330530968	1.57331723651e+12	340128866138	762598795288	487933575273	115178894410	419205998147	130632158836	92622153529.9	1.08647855049e+12	105083145355	3.53781065217e+12	1.50494792371e+12	294377621795	1.34193126771e+12	2.27089244587e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	18293.7791657	33112.6599433	5109.11160752	817.700824723	12907.6604727	152047.279437	38035.944896	1875.27118478	51960.4944527	15035.3252089	89000.2758903	14392.9535045	2833.66925586	10061.3787707	34301.0031525	90324.7481542	2457.88508586	3956.48259942	1373.350749	582.099573162	37391.3181737	31040.5877516	11075.7539363	15075.2973845	24245.360171	2863.58568334	5677.20431603	111519.756224	795853.305032	137183.275736	337580.965177	74485.5641745	79705.6153258	59821.6144157	187434.911282	41794.348895	100733.520225	71455.9351295	29286.3059258	62701.9308793	24749.9353914	22439.7010733	129168.309623	15192.0747347	343031.430302	168430.330521	43262.4069495	154420.346331	256750.371298
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	101.503588692	240.27401807	23.0754889051	1.91433868885	79.2900151338	901.357667107	71.3187805873	9.11154864031	318.46206401	62.7926717139	609.118693226	131.944560941	15.709237147	71.4878975957	214.9640501	492.23567865	17.1391675234	35.5685764778	8.62843360343	3.71609343986	307.809492213	201.371242579	60.7212051983	60.8858418992	116.725091424	17.7923180943	44.6025477949	645.106293096	3048.64891114	837.418075256	3222.56466722	547.222704768	563.669817536	363.092208935	849.184727422	457.758009026	264.967136924	261.705360063	133.104436653	277.231977953	171.563633946	72.3000253886	281.831816439	87.6493846537	2452.40310955	962.671243911	330.585413502	812.478053051	1056.68353117
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	8183827675.61	19870251591.9	2459566543.66	254541454.307	6725778233.63	76695857738.5	7931570459.7	692673010.728	30984177156.8	5421983142.03	54642910200	5132909650	1214484227.56	5965458091.51	13928696990.3	49208747843.6	1360378647.92	2138675943.34	670939746.891	280093183.811	22685350915.8	17425956343.5	5186399598.06	8791117980.24	9994944789.2	1415991134.26	2596085427.61	51326072159.5	516102324759	69287185350.8	204161417993	46637843965.3	50153523350.2	33680828843.2	134820013709	25958082901	74259948970.7	41977907141.2	10703497187.5	43398372681.7	11962784280.6	8839984963.78	106298414308	8622377199.72	213543499619	119371018583	27072994012.8	105716398380	180882281496
