impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	416956.06287	495123.720328	66300.8698854	23792.4826837	241869.310108	3589553.92537	329514.139209	30569.5776234	1310855.29198	251117.368259	2523778.03735	193245.972133	58111.4774944	159248.180481	391086.266462	1825700.6688	52582.4392466	68777.6118956	33194.3077711	14871.4783725	848524.088056	577658.106621	223258.956725	223381.839019	500709.19886	52354.674451	101770.115167	2639879.03668	20196594.9532	4605677.36326	15175691.9234	1638483.43479	1589420.62533	1764797.2558	3191193.07046	1183006.46329	1604211.89219	1328239.20768	682976.099779	743331.409168	521894.433449	381012.014746	1163984.85251	327545.590333	3899189.04544	2249124.72687	373753.705928	1758005.97097	3262134.19194
Employment	4878.07578093	4850.99735307	4499.14591904	442.854785414	6386.93785278	49928.4901896	2554.46794702	873.815165204	19347.6346022	2430.25334421	24012.6447634	3530.69904017	1785.04426803	5018.5849908	3595.22281633	23992.1939165	1813.69701926	327.575571735	1185.18259775	324.070374173	7722.14206902	19331.2200089	5515.37994073	14962.0768745	3948.09427848	1121.40218129	2926.26898082	34679.5503355	212019.229669	52530.4673885	1267851.69525	14323.9281411	36416.4617938	80169.588629	785359.846841	67592.5065091	64977.5169019	10146.6349438	4337.00398041	25708.7399604	14316.9412843	2179.36885078	177744.193329	13861.7311424	705034.416371	114719.776956	194169.57382	491752.044566	43131.0993053
Employment hour	7674746696.58	7808402719.44	9435451808.74	897558981.207	11651275466.7	65586627372.2	4812337604.06	1714786657.06	36949590503	4636277022.69	36154572449.7	7606954089.45	3579871791.26	9908552588.56	6605051476.47	44141700497.8	3632453899.09	652528622.568	2473891268.31	654293895.973	12809488808.1	41475269026.9	10788630543.2	31288729769.3	7606902413.32	2212756954.84	6076136546.05	63200511626.3	349873168442	109377695097	2.88811761292e+12	25126347274.5	86036671927.9	176532018361	1.88657260778e+12	157750387520	128429701400	18240026961.5	8379357352.67	64269756430.9	29855642529.6	3882319077.6	381856993511	30768664820.8	1.42460689537e+12	266195377668	391420443540	1.1114395332e+12	112850965672
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	88794393132.2	128866759955	58723993179.5	15918539063.6	140038763218	912639902081	67041764020	20499600371.9	340512994826	73135905191.1	437444976578	166695817479	25384382797.9	81593621790.1	98171688434.7	411856263718	29186854207.9	12984508220.1	16116755893.5	2014638693.45	215342043304	494079845773	102658488120	110799384571	62293089123.2	19620568879.9	41874308801.3	518576675074	6.25360634187e+12	1.36364648615e+12	1.502880807e+13	803138591795	762737220943	1.22889520224e+12	4.56311294627e+12	783167177980	2.62266309718e+12	772204440387	59766160564.1	614364360970	333466055952	88111293394.4	1.27594044591e+12	507541336202	4.08362556819e+12	1.56421715017e+12	623725147363	2.84373242005e+12	3.20765688024e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	11349.2198629	41179.355333	11643.1334307	44604.9601964	8951.60762224	603104.509312	100717.294181	6978.85569755	62507.0274065	14995.2482946	86897.9435072	525464.610902	8166.01770154	5213.72590391	72782.4841582	112690.13633	4312.32886329	9535.66412023	7019.41955479	1402.69876785	63685.5083681	34196.1821	10022.2346591	38407.0415051	31006.3630963	3495.16359856	10297.3349921	196293.998625	550328.917281	675434.742361	7841555.42663	116805.058237	211047.014377	1488215.51213	1624460.07333	1585291.7606	2271679.16396	52939.9226743	33809.5140705	403153.687773	165465.934106	93759.8996363	201188.889956	289140.914505	3714350.60603	1897007.64378	1146911.7627	1199299.92296	1943798.10994
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	5714353353.25	26232307704.5	5553721265.71	34101904770.4	5539185250.56	424640199181	69044508945.1	4032568521.07	33607715749.2	7619816027.48	48289478627.4	394082682107	6313111670.39	3066248794.15	26792144988	77868961462.3	2755281548.82	6272162603.09	4312613078.71	866015263.38	42705390093.2	15941733425.9	6681431994.93	20670535376.4	21056224541.2	2559786248.92	3780698192.69	143851480923	340156781845	402244751258	3.34103471681e+12	72866537761.2	126015545855	935026898915	907723910635	1.00010385385e+12	1.22456919167e+12	19695532492.7	12863034099.3	222708865526	115601557039	70636538433.4	129703315109	176165039275	2.35907357753e+12	1.19197759543e+12	523665584066	762104803877	1.27109153715e+12
EPS | Damage Approach | EPS (Steen, 1999))	50270638979.9	63938336901.7	57001809872.9	4194823048.78	69523153058	261461390753	67693096439.8	6094490191.54	176048365030	35721535530.7	177760523115	96353752843.1	13538191048.4	29580069331.1	244041023163	181931205439	9815265880.96	24976194512.5	11053840430.1	1749421047.49	70041696940.3	183139728204	33531787379.8	176969546508	34920924690.6	13155287014.1	43642983641.5	164948710951	2.06323070477e+12	502288215790	4.05857227249e+13	201105268575	398881779344	2.89125868135e+12	1.18056725236e+12	2.71380623899e+12	3.04889461711e+12	156165888661	92418572313.1	1.99802181791e+12	160967886591	78970096098.3	406112785699	595332631492	6.94809492605e+12	3.54301762108e+12	1.17600143788e+12	2.51113300955e+12	3.2434684675e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	3395.25238871	19087.68869	3865.44922331	27953.8174706	2211.47582788	342772.655917	56065.4882208	3429.39399645	23886.3224348	5731.37280059	36537.5126845	323589.456831	4586.49018363	1405.04966169	14219.064931	59111.4048806	1867.364125	4974.51033253	3470.3889386	644.689155455	33712.7930033	8067.80117192	5148.09055278	11073.3341286	14876.047728	1849.53317871	1847.24525258	115488.202039	226844.083585	331313.928116	2574088.87059	53919.9802285	94709.569478	348808.615234	402818.276822	351284.844235	595094.216148	13593.0733117	9944.03734784	138319.715376	91499.6383143	57268.3034568	90233.8588111	67828.6992855	928375.961486	435790.847414	289761.574103	282083.731077	502855.992396
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	190.904258493	239.205467448	131.658740378	263.365525827	302.648048266	1569.01287174	140.047641122	42.5751546413	745.562522022	95.114992501	1129.95610828	222.136553567	124.079844399	316.086772262	194.987000977	995.192581567	60.6358859863	17.4021480111	51.770727133	6.16732841848	212.279092512	653.866827867	135.507686846	408.349779928	119.628803779	61.3361804589	51.0476972983	743.758502687	15788.9092411	2721.71171553	18156.1595926	1959.22663149	1004.10120312	2766.03946646	13951.9077309	2417.74673432	4622.21207131	956.730966075	148.675560601	857.946666588	651.903503117	226.39574594	4785.90486706	823.412439007	9976.56931147	3769.65742985	1142.96389691	14783.1789752	7288.82343921
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	2178131274.52	4627582839.43	1457310430.5	2628218430.07	1485816761.76	45036547833.7	7147980346.57	474114491.157	8754221247.81	1874305393.91	11927005638.4	31636841581.7	855426677.476	1004022530	12609588337.1	11796234113.9	462526752.068	1036175980.96	818338108.703	160422668.094	5843071535.04	5311574167.63	1333245656.42	6467017238.57	3590696360.82	363839961.048	1710154147.85	17080158597.2	83527675324.9	71222288100.8	1.21015976159e+12	12673143805.9	27295880273.9	291411680203	293089817675	316546712241	441942183821	6187748623.61	4031426616.38	66436758654.9	15453163515.6	6090572904.33	22317355426.8	56332545727.4	705592785797	372888514807	243800503915	236404876492	381413596608
